"順位","管理No","合計スコア"
"745","CH010065","537"
"746","KA120055","537"
"747","TK060254","537"
"748","TK040001","537"
"749","TK050051","537"
"750","IB100043","537"
"751","IB040057","537"
"752","IB070009","537"
"753","KA070168","537"
"754","TC040016","537"
"755","SA050013","536"
"756","IB040201","536"
"757","CH040131","536"
"758","CH040063","536"
"759","IB020001","536"
"760","KA160028","536"
"761","IB020002","536"
"762","CH040105","536"
"763","KA020059","536"
"764","KA110001","536"
"765","CH040211","536"
"766","CH030013","535"
"767","IB080034","535"
"768","KA150138","535"
"769","KA150129","535"
"770","TK040181","535"
"771","IB070003","535"
"772","KA070080","535"
"773","KA160045","535"
"774","CH040205","535"
"775","KA150102","535"
"776","TK040085","534"
"777","CH040135","534"
"778","KA110145","534"
"779","KA150131","534"
"780","KA070161","534"
"781","TK130038","534"
"782","KA150011","534"
"783","IB080035","534"
"784","KA110148","534"
"785","CH030008","534"
"786","KA020012","534"
"787","KA110077","534"
"788","KA070174","533"
"789","KA110201","533"
"790","TK040164","533"
"791","NA010034","533"
"792","CH010055","533"
"793","YA010087","533"
"794","IB020015","533"
"795","IB020013","533"
"796","IB020022","533"
"797","KA160134","533"
"798","KA110057","533"
"799","GU050005","533"
"800","KA110174","532"
"801","TK090010","532"
"802","KA020039","532"
"803","KA110010","532"
"804","GU050017","532"
"805","KA110108","532"
"806","KA120037","532"
"807","SA130029","532"
"808","KA010006","532"
"809","KA110156","532"
"810","IB080050","532"
"811","IB040288","532"
"812","NA060048","531"
"813","IB040102","531"
"814","TK130088","531"
"815","CH020010","531"
"816","TK130036","531"
"817","NA010038","531"
"818","CH040019","531"
"819","IB070041","531"
"820","SA020003","531"
"821","YA010021","531"
"822","KA080047","531"
"823","KA110154","530"
"824","GU020058","530"
"825","KA110179","530"
"826","YA010071","530"
"827","CH020006","530"
"828","KA070084","530"
"829","TK060085","530"
"830","CH010009","530"
"831","SA020014","530"
"832","KA160186","530"
"833","CH010079","530"
"834","KA110085","529"
"835","KA070153","529"
"836","YA010005","529"
"837","KA070164","529"
"838","KA020063","529"
"839","IB040223","529"
"840","TK040192","529"
"841","TK050068","529"
"842","KA160043","529"
"843","KA010098","529"
"844","IB100024","529"
"845","IB040153","529"
"846","YA010036","529"
"847","TC030047","529"
"848","KA070196","529"
"849","IB040031","529"
"850","NA030055","528"
"851","KA150044","528"
"852","KA070142","528"
"853","TK040038","528"
"854","KA020038","528"
"855","CH010003","528"
"856","KA160027","528"
"857","KA070051","528"
"858","KA010033","528"
"859","TK060335","528"
"860","KA160133","528"
"861","GU030185","527"
"862","KA150147","527"
"863","KA070119","527"
"864","KA160024","527"
"865","GU030055","527"
"866","IB040296","526"
"867","SA020011","526"
"868","CH040133","526"
"869","KA070024","526"
"870","KA110155","526"
"871","NA030050","526"
"872","KA160103","526"
"873","KA170008","526"
"874","KA010012","526"
"875","KA150137","526"
"876","CH020025","526"
"877","KA120022","526"
"878","CH040130","526"
"879","TK130045","526"
"880","KA010083","526"
"881","SA090015","526"
"882","YA010061","525"
"883","KA070034","525"
"884","TK040069","525"
"885","CH040024","525"
"886","KA110199","525"
"887","CH040083","525"
"888","IB070059","525"
"889","IB010009","525"
"890","IB070025","525"
"891","IB090009","525"
"892","KA010153","525"
"893","IB040101","524"
"894","KA120003","524"
"895","IB040375","524"
"896","TK060003","524"
"897","CH010076","524"
"898","KA070192","524"
"899","IB010004","524"
"900","CH040026","524"
"901","SA090002","524"
"902","KA160167","523"
"903","KA110033","523"
"904","CH040208","523"
"905","NA060046","523"
"906","TK130022","523"
"907","CH030007","523"
"908","NA060003","523"
"909","IB040076","523"
"910","TK130025","523"
"911","IB040286","523"
"912","CH040071","523"
"913","NA030056","523"
"914","KA110029","522"
"915","KA080092","522"
"916","YA040008","522"
"917","GU030020","522"
"918","KA150074","522"
"919","KA160189","522"
"920","KA080064","522"
"921","GU040097","522"
"922","TK130008","522"
"923","KA150017","522"
"924","TK130009","522"
"925","IB100036","522"
"926","IB080044","522"
"927","KA070096","522"
"928","KA010059","522"
"929","KA160044","522"
"930","IB040391","522"
"931","KA010160","521"
"932","KA110193","521"
"933","KA010106","521"
"934","KA150145","521"
"935","TK050052","521"
"936","KA160177","521"
"937","CH010045","521"
"938","KA120020","521"
"939","KA020064","521"
"940","GU020064","521"
"941","IB010034","521"
"942","KA160198","521"
"943","KA020007","521"
"944","CH010014","521"
"945","TK130004","521"
"946","KA150015","520"
"947","CH040136","520"
"948","KA100002","520"
"949","KA070039","520"
"950","TC030038","520"
"951","KA080122","520"
"952","CH040102","520"
"953","CH040164","520"
"954","KA110137","519"
"955","IB040113","519"
"956","IB090011","519"
"957","KA150031","519"
"958","KA120025","519"
"959","IB070001","519"
"960","NA010039","519"
"961","CH040195","519"
"962","KA150016","519"
"963","IB020010","519"
"964","IB070022","519"
"965","IB080051","519"
"966","CH010013","519"
"967","CH040196","519"
"968","KA070110","518"
"969","KA020071","518"
"970","NA030035","518"
"971","IB080019","518"
"972","TK060224","518"
"973","KA150130","518"
"974","KA160173","518"
"975","IB080002","518"
"976","KA080059","518"
"977","KA120011","518"
"978","KA160035","517"
"979","GU030167","517"
"980","GU010032","517"
"981","CH040220","517"
"982","CH040014","517"
"983","KA160135","517"
"984","TK040175","516"
"985","IB080049","516"
"986","CH040029","516"
"987","NA030052","516"
"988","IB010010","516"
"989","KA150149","516"
"990","KA080036","516"
"991","KA080013","516"
"992","KA070046","515"
"993","TK040110","515"
"994","KA150023","515"
"995","IB070002","515"
"996","NA030004","515"
"997","TK040188","515"
"998","TK060167","515"
"999","KA160168","515"
"1000","TC030040","515"
"1001","KA110028","515"
"1002","IB080052","515"
"1003","CH010041","515"
"1004","TK040124","515"
"1005","IB040364","515"
"1006","IB080045","515"
"1007","KA070210","514"
"1008","IB050015","514"
"1009","SA020005","514"
"1010","SA020017","514"
"1011","KA150070","514"
"1012","NA060045","514"
"1013","TK060256","514"
"1014","IB080072","514"
"1015","YA010019","514"
"1016","TK060282","514"
"1017","IB100073","514"
"1018","TK040138","514"
"1019","NA060024","513"
"1020","CH040018","513"
