"順位","管理No","合計スコア"
"1111","CH040228","540"
"1112","IB070073","540"
"1113","NA060038","540"
"1114","KA150122","540"
"1115","IB080103","540"
"1116","KA150121","540"
"1117","IB010045","540"
"1118","TK090007","540"
"1119","SA030002","540"
"1120","TK040191","540"
"1121","KA110006","540"
"1122","KA150033","540"
"1123","TC040013","540"
"1124","KA070312","540"
"1125","KA070030","540"
"1126","TC030056","540"
"1127","GU050016","540"
"1128","YA040030","539"
"1129","YA010073","539"
"1130","YA010102","539"
"1131","SA050008","539"
"1132","TK060230","539"
"1133","IB080064","539"
"1134","KA010002","539"
"1135","KA070296","539"
"1136","KA070296","539"
"1137","CH010048","539"
"1138","IB070043","539"
"1139","KA160253","539"
"1140","IB040187","539"
"1141","TK060446","539"
"1142","KA120038","539"
"1143","KA110102","539"
"1144","TK060006","538"
"1145","TK130166","538"
"1146","KA150002","538"
"1147","CH010057","538"
"1148","KA150157","538"
"1149","KA120035","538"
"1150","IB100061","538"
"1151","IB100052","538"
"1152","KA110024","538"
"1153","SA020015","538"
"1154","IB040653","538"
"1155","KA150155","538"
"1156","IB010038","538"
"1157","IB040392","538"
"1158","KA160162","538"
"1159","KA020005","538"
"1160","TK050046","538"
"1161","TK130044","538"
"1162","KA120053","537"
"1163","KA110151","537"
"1164","KA160193","537"
"1165","GU020143","537"
"1166","KA070351","537"
"1167","IB100002","537"
"1168","KA110202","537"
"1169","CH040384","537"
"1170","KA120004","537"
"1171","CH010065","537"
"1172","CH030036","537"
"1173","KA120055","537"
"1174","TK060254","537"
"1175","TK040001","537"
"1176","TK050051","537"
"1177","IB100043","537"
"1178","IB040057","537"
"1179","IB040619","537"
"1180","IB070009","537"
"1181","KA070168","537"
"1182","TC040016","537"
"1183","SA050013","536"
"1184","KA150168","536"
"1185","IB040490","536"
"1186","IB040201","536"
"1187","CH040131","536"
"1188","CH040063","536"
"1189","NA060089","536"
"1190","IB020001","536"
"1191","TC030083","536"
"1192","KA160028","536"
"1193","CH030018","536"
"1194","IB020002","536"
"1195","IB070079","536"
"1196","CH040105","536"
"1197","KA020059","536"
"1198","TC010001","536"
"1199","GU010077","536"
"1200","KA080158","536"
"1201","KA110001","536"
"1202","CH040211","536"
"1203","CH030013","535"
"1204","IB080034","535"
"1205","KA150138","535"
"1206","KA150129","535"
"1207","TK040181","535"
"1208","KA150093","535"
"1209","IB070003","535"
"1210","KA070080","535"
"1211","KA160045","535"
"1212","CH040205","535"
"1213","KA150102","535"
"1214","KA080210","535"
"1215","SA020031","534"
"1216","TK040085","534"
"1217","GU030274","534"
"1218","CH040135","534"
"1219","KA110145","534"
"1220","KA150131","534"
"1221","KA070161","534"
"1222","NA010040","534"
"1223","KA160260","534"
"1224","SA020029","534"
"1225","TK130038","534"
"1226","KA150011","534"
"1227","YA040056","534"
"1228","IB080035","534"
"1229","KA110148","534"
"1230","NA030084","534"
"1231","CH030008","534"
"1232","KA020012","534"
"1233","KA110077","534"
"1234","KA070174","533"
"1235","KA110201","533"
"1236","TK040164","533"
"1237","GU010063","533"
"1238","NA010034","533"
"1239","CH010055","533"
"1240","TK050070","533"
"1241","IB080093","533"
"1242","YA010087","533"
"1243","IB020015","533"
"1244","IB020013","533"
